mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,label
268.60736,98.71247,-103.756226,97.18672,-56.009857,53.749176,-35.5496,38.104244,-12.014376,-3.8834856,-2.7722485,-4.0199876,38.3833,22.922638,51.275757,2.0210938,-16.912455,-34.45793,27.317245,17.471113,-10.951415,-24.382935,-19.107405,19.267483,5.583657,7.749955,6.225747,22.959255,2.8295245,-4.773402,-6.8968544,6.6041727,-9.443376,-13.277683,10.904987,-3.1527247,9.150115,11.630229,6.084277,Cat
93.01792,163.05838,-39.75964,30.329082,-27.69702,30.69484,1.3169296,15.635769,-0.1457129,2.3043206,-3.6199,-9.480114,0.669446,-8.1131735,10.254963,1.9275203,13.7210045,1.0179915,2.6986737,2.2177122,3.5414639,6.0241475,0.9256154,3.9936724,-1.8681757,4.8468933,-5.268326,-0.61705434,-2.1238437,2.9854012,4.8442106,1.8359878,5.047131,0.005638793,3.8279557,0.36507362,2.4502454,-2.3304152,-0.23829791,Cat
235.77786,182.29346,-112.998276,9.814874,-16.094997,61.83474,-27.07462,0.20298092,-0.64850664,14.158509,-5.64495,-13.050215,-0.76848006,-14.205288,14.568016,-4.687502,16.060568,-4.867464,-0.77107245,4.7490196,3.6841846,5.2902303,0.59508306,2.8490899,1.0713547,7.7778783,-4.0843062,14.037732,1.4884726,4.5117455,4.6860857,-3.9591026,1.7702876,1.2903687,4.2447314,-4.24454,-2.1183696,-7.129572,6.179991,Cat
188.07614,174.4075,-80.74403,27.808083,-16.112373,49.816643,-21.017273,4.8114376,-5.2968245,6.9524055,1.695953,-4.7316594,1.4244354,-7.9592705,14.7672825,-1.7635996,11.729462,-5.0235887,8.083958,0.8999439,0.1170938,2.7301283,-2.633613,6.43725,-3.0836716,5.618541,-1.6886015,7.91485,3.2983735,5.880604,0.7663725,1.0167941,7.753891,3.1723742,5.6615024,-3.5266461,3.199658,-0.9369608,-0.20814806,Cat
93.01792,163.05838,-39.75964,30.329082,-27.69702,30.69484,1.3169296,15.635769,-0.1457129,2.3043206,-3.6199,-9.480114,0.669446,-8.1131735,10.254963,1.9275203,13.7210045,1.0179915,2.6986737,2.2177122,3.5414639,6.0241475,0.9256154,3.9936724,-1.8681757,4.8468933,-5.268326,-0.61705434,-2.1238437,2.9854012,4.8442106,1.8359878,5.047131,0.005638793,3.8279557,0.36507362,2.4502454,-2.3304152,-0.23829791,Cat
235.77786,182.29346,-112.998276,9.814874,-16.094997,61.83474,-27.07462,0.20298092,-0.64850664,14.158509,-5.64495,-13.050215,-0.76848006,-14.205288,14.568016,-4.687502,16.060568,-4.867464,-0.77107245,4.7490196,3.6841846,5.2902303,0.59508306,2.8490899,1.0713547,7.7778783,-4.0843062,14.037732,1.4884726,4.5117455,4.6860857,-3.9591026,1.7702876,1.2903687,4.2447314,-4.24454,-2.1183696,-7.129572,6.179991,Cat
188.07614,174.4075,-80.74403,27.808083,-16.112373,49.816643,-21.017273,4.8114376,-5.2968245,6.9524055,1.695953,-4.7316594,1.4244354,-7.9592705,14.7672825,-1.7635996,11.729462,-5.0235887,8.083958,0.8999439,0.1170938,2.7301283,-2.633613,6.43725,-3.0836716,5.618541,-1.6886015,7.91485,3.2983735,5.880604,0.7663725,1.0167941,7.753891,3.1723742,5.6615024,-3.5266461,3.199658,-0.9369608,-0.20814806,Cat
274.16956,107.88794,-141.77289,7.0645137,-48.493225,50.29309,-54.85682,38.35685,-3.2677088,-24.971027,-5.313287,5.6507945,14.811915,4.270221,31.620659,11.595272,22.90216,-21.769264,-0.6843184,-2.8224099,-2.653077,-8.945465,-11.712856,2.420303,5.1693583,23.798431,10.706012,38.334602,8.795292,-9.966484,-13.354516,-2.2718368,3.191003,-4.07994,-6.1742277,-14.580919,7.3884735,-5.4130116,5.442253,Cat
128.39282,105.40804,-71.8205,82.664894,-37.812622,35.66513,4.426188,13.847797,-9.515285,18.044783,6.5548515,-4.703001,4.7234516,-10.400068,18.787533,3.5907195,11.448452,-24.691315,11.322451,26.493027,-6.152749,-7.9132023,6.8867254,14.191188,-13.818958,9.321331,6.6077037,-8.588875,-3.9965303,18.638493,-10.595528,-14.462967,19.174225,-9.493952,3.5588427,3.4685855,-12.575436,11.381717,8.00787,Cat
136.53067,115.43181,-67.3313,88.36023,-19.297588,25.985004,-17.222927,11.516245,-3.415001,31.670359,9.14988,-0.6620653,-6.1989884,-13.997145,27.78048,-2.1193871,2.1388745,-16.70697,31.39133,10.736891,-22.912418,-6.286688,12.265503,6.984115,-14.366066,22.144806,-5.8800936,-3.6556454,10.217767,2.8608925,-16.333466,4.890616,12.24823,-4.5906672,11.333883,-13.281314,5.891486,7.9001656,-8.572353,Cat
